BOARD_ID,BOARD_NAME,ISSUE_ID,ISSUE_KEY
179,FR2 Planning,14400,CD-1925
179,FR2 Planning,10034,CD-9
179,FR2 Planning,14401,CD-1926
179,FR2 Planning,14403,CD-1928
179,FR2 Planning,14405,CD-1930
179,FR2 Planning,15240,CD-2516
179,FR2 Planning,15248,CD-2524
179,FR2 Planning,14408,CD-1933
179,FR2 Planning,15214,CD-2506
179,FR2 Planning,15225,CD-2513
179,FR2 Planning,15510,CD-2611
179,FR2 Planning,15513,CD-2614
179,FR2 Planning,15514,CD-2615
179,FR2 Planning,15209,CD-2503
179,FR2 Planning,15210,CD-2504
179,FR2 Planning,15211,CD-2505
179,FR2 Planning,14412,CD-1937
179,FR2 Planning,14413,CD-1938
179,FR2 Planning,14415,CD-1940
179,FR2 Planning,15292,CD-2556
179,FR2 Planning,15293,CD-2557
179,FR2 Planning,15294,CD-2558
179,FR2 Planning,30994,CD-8717
179,FR2 Planning,10364,CD-336
179,FR2 Planning,31367,CD-8843
179,FR2 Planning,15941,CD-2648
179,FR2 Planning,15265,CD-2540
179,FR2 Planning,22268,CD-7056
179,FR2 Planning,30897,CD-8700
179,FR2 Planning,25977,CD-7904
179,FR2 Planning,30903,CD-8706
179,FR2 Planning,30906,CD-8709
179,FR2 Planning,29771,CD-8445
179,FR2 Planning,29772,CD-8446
179,FR2 Planning,29773,CD-8447
179,FR2 Planning,29774,CD-8448
179,FR2 Planning,31355,CD-8838
179,FR2 Planning,31422,CD-8865
179,FR2 Planning,10059,CD-34
179,FR2 Planning,10090,CD-65
179,FR2 Planning,10091,CD-66
179,FR2 Planning,10099,CD-74
179,FR2 Planning,10112,CD-87
179,FR2 Planning,10119,CD-94
179,FR2 Planning,10121,CD-96
179,FR2 Planning,25573,CD-7824
179,FR2 Planning,26067,CD-7932
179,FR2 Planning,30894,CD-8697
179,FR2 Planning,14960,CD-2436
179,FR2 Planning,10239,CD-211
179,FR2 Planning,11054,CD-1026
179,FR2 Planning,11061,CD-1033
179,FR2 Planning,11062,CD-1034
179,FR2 Planning,11063,CD-1035
179,FR2 Planning,11064,CD-1036
179,FR2 Planning,11067,CD-1039
179,FR2 Planning,11068,CD-1040
179,FR2 Planning,11069,CD-1041
179,FR2 Planning,11077,CD-1049
179,FR2 Planning,11078,CD-1050
179,FR2 Planning,11082,CD-1054
179,FR2 Planning,11085,CD-1057
179,FR2 Planning,11086,CD-1058
179,FR2 Planning,11188,CD-1160
179,FR2 Planning,11274,CD-1246
179,FR2 Planning,11275,CD-1247
179,FR2 Planning,11276,CD-1248
179,FR2 Planning,11277,CD-1249
179,FR2 Planning,11278,CD-1250
179,FR2 Planning,11279,CD-1251
179,FR2 Planning,11280,CD-1252
179,FR2 Planning,11281,CD-1253
179,FR2 Planning,11282,CD-1254
179,FR2 Planning,11285,CD-1257
179,FR2 Planning,11287,CD-1259
179,FR2 Planning,11288,CD-1260
179,FR2 Planning,11305,CD-1277
179,FR2 Planning,11306,CD-1278
179,FR2 Planning,11310,CD-1282
179,FR2 Planning,11312,CD-1284
179,FR2 Planning,11313,CD-1285
179,FR2 Planning,11314,CD-1286
179,FR2 Planning,11315,CD-1287
179,FR2 Planning,11316,CD-1288
179,FR2 Planning,11319,CD-1291
179,FR2 Planning,11320,CD-1292
179,FR2 Planning,11321,CD-1293
179,FR2 Planning,10125,CD-100
179,FR2 Planning,10137,CD-112
179,FR2 Planning,10139,CD-114
179,FR2 Planning,10142,CD-117
179,FR2 Planning,10143,CD-118
179,FR2 Planning,10144,CD-119
179,FR2 Planning,10158,CD-133
